FEATURE1,FEATURE2,FEATURE3,FEATURE4,FEATURE5,FEATURE6,FEATURE7,FEATURE8,FEATURE9,FEATURE10,FEATURE11,FEATURE12,FEATURE13,FEATURE14,FEATURE15,FEATURE16,FEATURE17,FEATURE18,FEATURE19,FEATURE20,FEATURE21,FEATURE22,FEATURE23,FEATURE24,FEATURE25,FEATURE26,FEATURE27,FEATURE28
1,45,23,0,0,0,0,0,0,1,0,12,108,0,0,0,0,0,0,0,1,80,800,1,0,0,1,0
1,58,27,1,0,0,0,0,0,2,0,22,404,0,0,1,0,1,0,0,0,120,1300,2,1,0,0,1
2,52,24,0,0,0,1,0,0,1,0,20,363,0,0,0,0,1,0,0,0,110,1000,2,1,1,1,0
2,45,26,0,0,0,0,0,0,3,1,15,178,0,0,0,0,0,1,1,1,60,800,1,0,1,1,1
1,49,26,0,1,1,1,2,1,1,0,16,207,0,1,0,1,1,0,0,0,80,1300,2,1,0,1,0
1,65,27,0,0,0,0,0,0,2,0,22,424,1,1,1,1,1,0,0,0,100,1300,1,1,0,0,1
2,41,24,0,0,0,1,1,1,1,0,21,367,0,0,0,0,0,0,0,1,80,1000,1,0,1,1,0
2,49,26,0,0,0,0,1,1,3,1,13,140,0,0,0,0,0,1,1,1,40,800,2,0,1,1,1
1,35,24,0,0,0,1,2,1,1,0,15,181,0,0,1,0,0,0,0,0,110,1800,1,1,1,1,0
2,59,27,1,1,0,1,0,0,2,0,13,130,0,0,0,0,0,1,0,1,40,800,2,0,1,0,1
1,41,22,0,0,0,1,0,0,1,0,12,115,1,0,1,0,0,1,0,0,50,800,2,1,0,1,0
2,62,27,1,0,0,1,3,1,2,0,23,457,0,1,0,1,1,0,0,0,100,1300,2,1,1,0,1
2,58,23,0,0,0,1,0,0,3,1,20,353,0,0,0,0,1,0,1,1,110,1800,2,1,1,1,1
1,56,25,0,0,0,1,1,1,2,0,16,205,0,1,0,1,0,1,0,0,100,1300,1,0,0,0,1
1,70,27,0,0,0,0,0,0,1,0,20,339,0,0,1,0,1,0,0,0,60,1000,2,1,0,1,0
2,62,25,0,1,0,1,2,1,2,0,15,179,0,1,0,1,1,0,0,0,60,800,1,1,1,0,1
2,39,25,0,0,0,1,0,0,1,0,15,169,0,0,0,0,0,1,0,0,100,1400,2,0,1,1,0
1,55,26,0,0,0,0,0,0,3,1,18,262,0,1,0,0,1,0,1,1,110,1300,2,1,0,1,1
2,58,25,1,0,0,0,0,0,1,0,17,218,0,0,0,0,0,0,0,0,80,1000,2,0,1,1,0
2,39,23,0,0,0,0,0,0,3,1,12,114,1,0,1,1,0,1,1,1,90,1300,2,1,1,1,1
1,42,27,0,0,0,1,0,0,1,0,18,253,0,0,0,0,0,0,0,1,70,800,1,0,0,1,0
2,38,24,0,0,0,1,0,0,2,0,22,408,0,0,0,0,1,0,0,0,70,600,1,1,1,0,1
1,53,24,0,0,0,1,0,0,3,1,15,175,0,0,1,0,0,0,1,1,100,800,2,1,0,1,1
2,62,26,0,0,0,1,1,1,2,0,23,443,0,0,0,0,0,0,0,0,80,1000,2,0,1,0,1
2,55,27,0,0,0,0,1,0,3,1,12,104,0,0,1,0,1,1,1,1,80,1800,2,1,1,1,1
1,64,22,0,1,0,1,0,0,2,0,15,170,0,0,0,0,0,1,0,0,60,1300,1,0,0,0,1
2,59,27,0,0,0,0,0,0,1,0,15,178,1,0,1,0,1,1,0,1,60,1000,2,1,1,1,0
1,58,24,1,0,0,1,0,0,1,0,22,409,0,0,0,0,0,1,0,1,100,1500,1,0,0,1,0
2,50,26,0,0,0,1,0,0,2,0,24,497,0,1,1,0,1,0,0,0,60,800,2,1,1,0,1
2,56,25,1,0,0,1,0,0,1,0,28,654,0,0,0,0,1,0,0,1,120,1000,2,1,0,1,0
2,21,27,1,0,0,1,0,0,2,0,28,659,0,0,0,0,0,1,0,0,90,1200,2,0,1,0,1
2,52,26,0,0,0,0,0,0,1,0,25,527,0,0,0,0,1,1,0,1,120,1500,2,1,0,1,0
1,48,23,1,0,0,0,0,0,2,0,21,383,1,0,0,1,0,0,0,0,100,1150,2,1,1,0,1
1,54,23,0,0,0,0,0,0,2,0,20,350,0,0,0,0,0,0,0,1,100,1200,1,0,0,0,1
1,49,26,0,0,0,0,0,0,1,0,21,381,0,0,0,0,0,0,0,1,90,1100,1,0,0,1,0
2,42,23,0,0,0,0,0,0,2,0,15,184,0,0,0,0,0,0,0,1,80,1000,2,0,0,0,1
1,63,24,0,0,0,0,0,0,1,0,22,420,0,0,0,0,0,0,0,0,70,900,1,0,0,1,0
2,37,27,0,0,0,0,0,0,2,0,15,167,0,0,0,0,0,0,0,0,100,1200,1,0,1,0,1
1,51,26,0,0,0,0,0,0,1,0,17,230,0,0,0,0,0,0,0,0,40,600,1,0,0,1,0
1,60,24,0,0,0,1,0,0,3,1,17,231,0,0,0,0,0,0,1,0,60,1000,2,0,0,1,1
1,46,21,0,0,0,0,0,0,1,0,13,130,0,0,0,0,0,0,0,0,80,1000,1,0,0,1,0
1,56,26,0,0,0,0,1,1,2,0,17,232,0,0,0,0,0,0,0,0,70,900,2,0,0,0,1
2,47,26,0,0,0,0,0,0,1,0,15,170,0,1,0,1,0,0,0,0,40,600,1,0,1,1,0
1,39,23,0,0,0,1,1,1,2,0,12,114,1,0,1,0,1,0,0,0,80,1000,1,1,0,0,1
2,37,26,0,0,0,0,0,0,1,0,12,109,0,0,0,0,0,0,0,1,80,1000,1,0,1,1,0
1,39,28,0,0,0,0,0,0,2,0,18,244,0,0,0,0,0,0,0,1,90,1100,2,0,0,0,1
1,39,22,0,0,0,0,0,0,1,0,12,106,0,0,0,0,0,0,0,0,90,1100,2,0,0,1,0
1,47,21,0,0,0,0,0,0,2,0,19,276,0,0,0,0,0,0,0,0,60,800,1,0,0,0,1
2,60,24,0,0,0,0,0,0,1,0,21,391,0,1,0,1,0,0,0,0,40,600,2,0,1,1,0
1,55,22,0,0,0,1,0,0,3,1,13,125,0,0,0,0,0,0,1,0,110,1300,2,0,0,1,1
2,58,24,0,0,0,0,0,0,1,0,21,396,1,0,1,0,1,0,0,0,50,700,1,1,1,1,0
1,58,20,0,0,0,0,0,0,2,0,18,245,0,0,0,0,0,0,0,0,50,700,2,0,0,0,1
1,65,28,0,0,0,0,0,0,1,0,20,345,0,1,0,1,0,0,0,0,90,1100,2,0,0,1,0
1,58,24,1,0,0,0,0,0,2,0,18,258,0,0,0,0,0,0,0,0,100,1200,2,0,0,0,1
1,47,22,0,0,0,1,1,1,1,0,20,352,0,1,0,1,0,0,0,1,70,900,1,0,0,1,0
